Barrio_Localidad,Cantidad,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,Coordenadas
11 DE NOVIEMBRE-BARRIOS UNIDOS,163,17,22,28,18,27,21,30,"[[[-74.07336872799999, 4.667732156999989], [-74.07259626500002, 4.668634204], [-74.07154966000002, 4.669844516000011], [-74.071376181, 4.669690951999996], [-74.071257033, 4.669584089000011], [-74.07124992400003, 4.669577661999994], [-74.071180674, 4.6695156490000045], [-74.07108869000001, 4.669433013000002], [-74.07103519200001, 4.6694942340000125], [-74.07098105900002, 4.6695548199999735], [-74.07092755899998, 4.669615970999984], [-74.07087342599999, 4.669676416000015], [-74.07081922200001, 4.669737073000021], [-74.07076501900002, 4.6697975879999944], [-74.07071095600003, 4.669858245], [-74.07065745599999, 4.6699193250000235], [-74.07060402799999, 4.669980475999977], [-74.070550529, 4.670041626999989], [-74.07049695900002, 4.670102778], [-74.07044352899999, 4.670163929000011], [-74.0703901, 4.670225081000012], [-74.070335264, 4.670285030999991], [-74.07026694899997, 4.670363790999999], [-74.07022511500003, 4.670410466000021], [-74.07018022199998, 4.670420970000009], [-74.07013233800001, 4.670417961999987], [-74.069770243, 4.670170188999975], [-74.06916126800002, 4.66973621400001], [-74.06863757999997, 4.6693578], [-74.068483448, 4.669245607999982], [-74.068857993, 4.66877193099998], [-74.06906447699998, 4.668502937000027], [-74.06925040099998, 4.668266222999989], [-74.06948280699999, 4.667967638999982], [-74.06969554900002, 4.66768788600001], [-74.069899351, 4.6674251680000225], [-74.07001726300001, 4.6672717170000055], [-74.07024730400002, 4.666961248000006], [-74.07071156400002, 4.666336112999999], [-74.07096812600003, 4.665988174000006], [-74.071090556, 4.666081114000007], [-74.07150091300002, 4.666373046999979], [-74.07222466500002, 4.66687871800002], [-74.07293283299998, 4.667380912999988], [-74.07336872799999, 4.667732156999989]]]"
12 DE OCTUBRE-BARRIOS UNIDOS,138,13,19,18,25,21,18,24,"[[[[-74.0707069, 4.670821905000025], [-74.07153151799997, 4.669865495999999], [-74.07154966000002, 4.669844516000011], [-74.07259626500002, 4.668634204], [-74.07336872799999, 4.667732156999989], [-74.07352305400002, 4.667551940999999], [-74.07421991500001, 4.666703869000002], [-74.07455596599999, 4.666274509000004], [-74.074959229, 4.665745791000006], [-74.075206847, 4.6654193329999885], [-74.07548983800001, 4.665043196999988], [-74.07568780399998, 4.664745008000011], [-74.075805392, 4.664509109999983], [-74.07594041099998, 4.664124675999971], [-74.07608151400001, 4.663599331999989], [-74.07636954899999, 4.663730267000005], [-74.07642597900002, 4.663798389000021], [-74.07593495200001, 4.665553595999995], [-74.07590279200002, 4.665663262000009], [-74.07592205399999, 4.6659084089999965], [-74.07629483599999, 4.667147075999992], [-74.07640407999997, 4.6676825359999725], [-74.07641036199999, 4.669043735999991], [-74.07642305799999, 4.670540411999979], [-74.076448685, 4.671385519000011], [-74.076313594, 4.672011268000005], [-74.07627975999998, 4.6720965939999815], [-74.07621475399998, 4.6722605339999745], [-74.07608849399998, 4.672578948000023], [-74.075766913, 4.673456272999999], [-74.07564351399998, 4.673912952000023], [-74.07562264900002, 4.67450648099998], [-74.075494676, 4.67442371200002], [-74.075223091, 4.674209663999988], [-74.07454341599998, 4.67370735899999], [-74.07386516499997, 4.673196492999977], [-74.07335185599999, 4.67281120299998], [-74.07274185799997, 4.6723517070000185], [-74.07219442399997, 4.671945010000001], [-74.07197829500001, 4.671780903000012], [-74.07139531399997, 4.671351372999993], [-74.07108676299998, 4.671107356999982], [-74.07094315, 4.671007464000013], [-74.07082655300002, 4.6709318310000185], [-74.0707069, 4.670821905000025]], [[-74.07576311499997, 4.6716963700000065], [-74.07551744300002, 4.671517273000006], [-74.07480162000002, 4.6723626709999735], [-74.07503430000003, 4.672543112000028], [-74.07505653300001, 4.6725190000000225], [-74.07511154899998, 4.672453491999988], [-74.07522336900001, 4.672322479000001], [-74.07530611599998, 4.672226463000015], [-74.07533608400001, 4.672191466000015], [-74.07540317500002, 4.672114294999971], [-74.075523046, 4.67197610300002], [-74.075644705, 4.6718329749999725], [-74.07575205199998, 4.6717086919999815], [-74.07576311499997, 4.6716963700000065]]]]"
ABRAHAM LINCOLN-TUNJUELITO,120,12,18,14,15,14,21,26,"[[[-74.12416305199997, 4.560714748999998], [-74.124036408, 4.560443206000002], [-74.12384167699997, 4.560025675000019], [-74.12382085000002, 4.559955405999971], [-74.12380093600001, 4.559895943000015], [-74.12377898199998, 4.5598371149999934], [-74.12375512699998, 4.559779063000007], [-74.123729443, 4.559721858999978], [-74.123701788, 4.559665503000019], [-74.12367237400002, 4.559610136000003], [-74.123641061, 4.559555755000019], [-74.12360805700001, 4.559502435000013], [-74.12357322399998, 4.559450245999983], [-74.12353677300001, 4.559399185000018], [-74.12349863200001, 4.559349467000004], [-74.12345042800001, 4.559311824000019], [-74.123364353, 4.559234875000015], [-74.12325458499998, 4.559136747000025], [-74.12321032099999, 4.559091970999986], [-74.12317232200002, 4.559027280999998], [-74.12305993899997, 4.558935609999991], [-74.122986261, 4.558854322999991], [-74.12291398999997, 4.558771692999982], [-74.122843198, 4.5586877939999795], [-74.12277388400003, 4.558602692000022], [-74.12271603800002, 4.558529177000025], [-74.12270597600002, 4.5585163900000225], [-74.12263968799999, 4.558428960000014], [-74.12257487800002, 4.558340326999996], [-74.12257069700001, 4.558334393999985], [-74.122511616, 4.5582505660000265], [-74.12244997200003, 4.558159744000022], [-74.122389876, 4.55806779400001], [-74.12233140000001, 4.557974854000008], [-74.122276656, 4.557884418000014], [-74.122274543, 4.557880925999995], [-74.122219304, 4.557785938999984], [-74.12216575299999, 4.557690105000006], [-74.12211389100003, 4.557593280999981], [-74.12206372000003, 4.55749553999999], [-74.12201523599998, 4.557396950999987], [-74.12196851200002, 4.557297586000004], [-74.12192347799999, 4.557197372000018], [-74.12188020299999, 4.557096382999986], [-74.12183875699998, 4.556994687999974], [-74.12179900000001, 4.556892214000015], [-74.12176107300002, 4.5567891059999965], [-74.121724906, 4.556685291999997], [-74.12169063800002, 4.556580913999994], [-74.12165813000001, 4.556475969000018], [-74.12162745299997, 4.556370459999982], [-74.121598603, 4.556264386999998], [-74.12157165500003, 4.556157889000019], [-74.12154653599998, 4.556050899000013], [-74.12152324700003, 4.55594348400001], [-74.12150185899998, 4.5558356440000125], [-74.12148236899998, 4.555727451999985], [-74.12146471099999, 4.555618977999984], [-74.12144902300003, 4.555510222000009], [-74.121435163, 4.555401183000015], [-74.12142320499999, 4.555291930999999], [-74.121413217, 4.555182467999998], [-74.12140041700002, 4.5549939809999955], [-74.12140186800002, 4.55495221000001], [-74.12140310299998, 4.554916659000014], [-74.122482505, 4.554916705999971], [-74.12308705100003, 4.554916731999981], [-74.12390075500002, 4.554839135000008], [-74.12400373499997, 4.554979806000005], [-74.12400389599998, 4.55498002500002], [-74.12430471699997, 4.555437197000003], [-74.12445083400002, 4.555601089999981], [-74.12486626100002, 4.556075518], [-74.12507827299999, 4.556331420999981], [-74.12518427499998, 4.556555692000017], [-74.12525302699999, 4.556831714999987], [-74.125324637, 4.557314754000003], [-74.12543063200002, 4.557728789000009], [-74.12565695199999, 4.558441851999987], [-74.12610809799997, 4.558502938999993], [-74.12695561100003, 4.558549893000019], [-74.12721841500002, 4.558573061000004], [-74.12736248800002, 4.558585760000028], [-74.12704636299998, 4.558825812000009], [-74.12627007700002, 4.559194204999983], [-74.12610517500002, 4.559247276999997], [-74.12583604100001, 4.559365910999986], [-74.12560735199997, 4.559561041999984], [-74.12518108900002, 4.559921642999995], [-74.12463814400002, 4.560399323000012], [-74.12456969300001, 4.560457082000027], [-74.12431300100002, 4.560655332999999], [-74.12418614500001, 4.5607642639999995], [-74.12416305199997, 4.560714748999998]]]"
ABRAHAM LINCON-KENNEDY,40,2,6,4,6,9,6,7,"[[[-74.15980787000001, 4.615887407999991], [-74.15979178499998, 4.615830223999978], [-74.16089718, 4.615621514999986], [-74.16122456199997, 4.615559675999975], [-74.16146335799999, 4.615501702000017], [-74.161802293, 4.615412807999973], [-74.16213315200002, 4.615307571000016], [-74.16243018300003, 4.6152083160000075], [-74.16260404799999, 4.615174390999982], [-74.16277550400002, 4.615482121000013], [-74.16300491599998, 4.61588919799999], [-74.16301549999997, 4.615908078000018], [-74.16316177599998, 4.616169013999979], [-74.16307701300002, 4.616211409000015], [-74.162645693, 4.616459347999978], [-74.16245650299999, 4.616576257000019], [-74.16224913799999, 4.616703019999988], [-74.16209182699998, 4.616798689000006], [-74.16199648700001, 4.616853699999978], [-74.16183679099998, 4.616930235999973], [-74.16164849299997, 4.6169661129999895], [-74.16139822399998, 4.617009166000002], [-74.16056637499997, 4.617150284999979], [-74.16020054199998, 4.617214277000016], [-74.16007362200003, 4.617239267000002], [-74.16007307299998, 4.617236574000003], [-74.15996663599998, 4.616714156999989], [-74.15988569899997, 4.616316906999998], [-74.15980787000001, 4.615887407999991]]]"
ACACIA IV-CIUDAD BOLÍVAR,62,8,6,12,9,7,8,12,"[[[-74.14345915799998, 4.5568596499999785], [-74.14366007699999, 4.55668564299998], [-74.14372932499998, 4.556632676999981], [-74.143781402, 4.556592706999993], [-74.144103997, 4.556371103000003], [-74.144135877, 4.556349140000008], [-74.14433067300001, 4.556246601999987], [-74.14450498899998, 4.556158045000017], [-74.14455333400002, 4.556235162999996], [-74.14457754199998, 4.55627718300002], [-74.14461103899998, 4.556345826999972], [-74.144658612, 4.55642683100001], [-74.14471188300001, 4.55651934399998], [-74.144782395, 4.556652252999981], [-74.14482848900002, 4.556741800999986], [-74.14501701699999, 4.557063339000023], [-74.145082462, 4.557202957000015], [-74.14469519599999, 4.557178236000027], [-74.14460779299998, 4.55717583400002], [-74.14432200499999, 4.557115872999986], [-74.144022355, 4.557074132000025], [-74.14366450699998, 4.556920950000005], [-74.14345915799998, 4.5568596499999785]]]"
ACACIAS SUR-CIUDAD BOLÍVAR,78,5,7,17,15,11,14,9,"[[[-74.14085193300002, 4.56224733800002], [-74.14072793499997, 4.5621733959999915], [-74.14047993999998, 4.562003759999981], [-74.140447989, 4.561990482999988], [-74.14025952899999, 4.561866540999972], [-74.14007282799997, 4.561826989999985], [-74.139859666, 4.561804951999988], [-74.13981919999998, 4.561834965000002], [-74.13950476899998, 4.561834959000009], [-74.13943122900002, 4.561795834000008], [-74.13940455599999, 4.561781709000001], [-74.13927887, 4.561714968999979], [-74.13920181100002, 4.56168304800002], [-74.13915240900002, 4.561630150999974], [-74.13918801900002, 4.561609671999974], [-74.13918738500001, 4.561608965999994], [-74.13969999699998, 4.561242806999985], [-74.14024765599999, 4.560822341000005], [-74.14045540299998, 4.560633716999973], [-74.14057419800002, 4.560454907000007], [-74.14079193999999, 4.560157032999995], [-74.140973369, 4.559882250999976], [-74.14098645899998, 4.559863041000028], [-74.14105261200001, 4.559766362999994], [-74.14108885399997, 4.5597398809999845], [-74.14110856000002, 4.559759724999992], [-74.14138062, 4.560053018000019], [-74.14142488599998, 4.560004503000016], [-74.141662543, 4.559769550999988], [-74.14177978700002, 4.559675486000003], [-74.141820886, 4.559631914000021], [-74.14182412299999, 4.559629442000016], [-74.14202377599997, 4.559473656000022], [-74.142052278, 4.55945628400002], [-74.142162907, 4.559361512999998], [-74.14254004399999, 4.559179669999991], [-74.14262315500002, 4.559136238999997], [-74.14285208400003, 4.558958277999977], [-74.14293196, 4.558874452999987], [-74.14298094100002, 4.558821840999996], [-74.14338728000001, 4.558820646000015], [-74.143201358, 4.558357017999981], [-74.14313556100001, 4.558209913999974], [-74.14307046699997, 4.558043318999978], [-74.14301480400002, 4.557915071000024], [-74.142744215, 4.558021420999978], [-74.14265871399999, 4.557811535999974], [-74.14259728100001, 4.557634064000012], [-74.14285597600002, 4.557528067000021], [-74.14309426300002, 4.557423975000006], [-74.14297160500001, 4.557165854000004], [-74.14284986199999, 4.556946222000021], [-74.14281263499998, 4.556879201000015], [-74.14297358099998, 4.556829063999998], [-74.14322657000002, 4.557076945999995], [-74.14345915799998, 4.5568596499999785], [-74.14366450699998, 4.556920950000005], [-74.144022355, 4.557074132000025], [-74.14432200499999, 4.557115872999986], [-74.14460779299998, 4.55717583400002], [-74.14469519599999, 4.557178236000027], [-74.145082462, 4.557202957000015], [-74.14509140000001, 4.557222095999975], [-74.14507450899998, 4.5572571939999875], [-74.14501940600002, 4.557373434999988], [-74.14489350399998, 4.557638826000015], [-74.144838612, 4.55773112700001], [-74.14476654700002, 4.557846590999986], [-74.14475071200002, 4.557930134999992], [-74.14473839599998, 4.558005981999997], [-74.14473051300001, 4.558041926999976], [-74.14471911200002, 4.558105910999984], [-74.14471369300003, 4.5581330289999755], [-74.14469391699998, 4.558231755999997], [-74.14469011699998, 4.558258874999978], [-74.14466492000003, 4.558431117999987], [-74.14464352599998, 4.558586907999995], [-74.144626775, 4.558697499000004], [-74.14461269999998, 4.558794250000005], [-74.144595245, 4.558885986000007], [-74.14457568, 4.558982171000025], [-74.14449946100001, 4.5592929019999815], [-74.14445160399998, 4.559506528999975], [-74.144433306, 4.559626443000013], [-74.14442535400002, 4.559658434000027], [-74.144442664, 4.559754195999971], [-74.14438389600002, 4.560220081000011], [-74.14438206699998, 4.560222975999977], [-74.144362924, 4.560257368000009], [-74.14435602600003, 4.560373963000017], [-74.14430014499999, 4.5607214159999785], [-74.14446988600002, 4.560747336000019], [-74.14462386500003, 4.560763016000009], [-74.14462076799998, 4.560774245000004], [-74.14457938499999, 4.5610015020000105], [-74.144516608, 4.561338784999975], [-74.14450605100001, 4.561407428999984], [-74.144504009, 4.561418657999979], [-74.14426220299998, 4.561497820999989], [-74.14366057199999, 4.561686936000001], [-74.143452405, 4.5617508440000165], [-74.14345789599997, 4.561608050000018], [-74.14373075600002, 4.56015954899999], [-74.14387440000002, 4.5593595600000185], [-74.14360156100003, 4.559258779999993], [-74.14352977499999, 4.559669439999993], [-74.14329273800001, 4.560930652000024], [-74.14311087800002, 4.5618191300000035], [-74.14311925300001, 4.561853169000016], [-74.14215624899998, 4.562148915000023], [-74.141189585, 4.562445930000024], [-74.14108852800001, 4.5623882300000105], [-74.14085193300002, 4.56224733800002]]]"
ACACIAS-SUBA,58,8,9,5,4,6,11,15,"[[[-74.09303374799998, 4.758244733000026], [-74.09306592000002, 4.758156473999974], [-74.093133545, 4.757973692999996], [-74.093287132, 4.757563299000025], [-74.09344874200002, 4.757137962000001], [-74.093556482, 4.756845972999997], [-74.09356723399998, 4.756807954000009], [-74.09357632299998, 4.756782584000006], [-74.09372698700003, 4.756806348999987], [-74.09385181099998, 4.756455318999997], [-74.09393257800002, 4.756241756999998], [-74.09428804200002, 4.756396635999976], [-74.094283674, 4.756408614000008], [-74.09401622299998, 4.757145797000021], [-74.09389500399999, 4.757475791999979], [-74.093785335, 4.757713153999986], [-74.09367758500002, 4.758012273000019], [-74.09352894300002, 4.758388802000013], [-74.09324737600002, 4.758303185999977], [-74.09316811500003, 4.75828149900002], [-74.09303374799998, 4.758244733000026]]]"
ACAPULCO-ENGATIVÁ,54,5,5,9,6,8,7,14,"[[[-74.09737307900002, 4.683974608000028], [-74.09708665300002, 4.684382734999985], [-74.09681457800002, 4.684178981999991], [-74.09625528499998, 4.6837842040000055], [-74.095795447, 4.684464248999972], [-74.09532612599997, 4.685153805000027], [-74.09509383599999, 4.685481935999973], [-74.09472880999999, 4.685995535000017], [-74.09463933799998, 4.686126176000016], [-74.09431810799998, 4.686595216], [-74.09428724499998, 4.686565142999995], [-74.09419264799999, 4.686472965999996], [-74.09408873500001, 4.686359999999979], [-74.09389979100001, 4.686154595999994], [-74.09371789900001, 4.685956857999997], [-74.09354835800002, 4.68577254500002], [-74.09347270500001, 4.685690299999976], [-74.09340725599998, 4.685624620999988], [-74.093189559, 4.685475730999996], [-74.09344710200003, 4.685128399000007], [-74.09372875000003, 4.684745061000001], [-74.094100341, 4.684253692000027], [-74.09447868699999, 4.683755544999996], [-74.09483676600001, 4.683279423999977], [-74.09513234999997, 4.682865994999986], [-74.09533516800002, 4.682595632000015], [-74.09536412599999, 4.682571950999999], [-74.09559868399998, 4.682755484999972], [-74.095995474, 4.6830219760000205], [-74.09639639699998, 4.683300910000014], [-74.096746687, 4.683541477000005], [-74.09720237599998, 4.683857739000018], [-74.09737307900002, 4.683974608000028]]]"
ACAPULCO-SUBA,14,3,0,0,3,0,4,4,"[[[-74.07991902399999, 4.75552662299998], [-74.07997741700001, 4.75538859300002], [-74.08005697499999, 4.755180946999985], [-74.08006724699999, 4.755154380000021], [-74.08006804799999, 4.755154862999972], [-74.08038632900002, 4.755347058999973], [-74.08090735500002, 4.755617372000017], [-74.08113773899998, 4.755756080000026], [-74.08129369400001, 4.755827216999989], [-74.08130276700001, 4.755810807999978], [-74.08153032400003, 4.755927070999973], [-74.08164763500002, 4.755979559000024], [-74.08169890099998, 4.756002138999974], [-74.081651695, 4.756069873000001], [-74.08157873900001, 4.756178415000022], [-74.08157301699998, 4.7561869269999875], [-74.081493685, 4.756305296999983], [-74.08142287300001, 4.7564276140000175], [-74.08140386100001, 4.756445368000015], [-74.081278005, 4.7563664360000075], [-74.08101318299998, 4.756200679000016], [-74.08070771899997, 4.756012558000009], [-74.08038455799999, 4.7558119390000115], [-74.08001288899999, 4.755583033999982], [-74.07991927, 4.755526771000006], [-74.07991902399999, 4.75552662299998]]]"
ACEVEDO TEJADA-TEUSAQUILLO,170,15,25,26,26,30,23,25,"[[[-74.07961178300002, 4.633200709999982], [-74.07966180400001, 4.632581655000024], [-74.079686509, 4.632284562999984], [-74.07974142500001, 4.6314593079999895], [-74.07975794100003, 4.630807353000022], [-74.079842998, 4.630136149000009], [-74.07989236399999, 4.6299573470000155], [-74.08001029799999, 4.629492461999973], [-74.08019677499999, 4.628975318000016], [-74.08040791899998, 4.628518695000025], [-74.08061358399999, 4.628023558999984], [-74.08080553100001, 4.627630205000002], [-74.08105993100003, 4.627230277000023], [-74.08133978900003, 4.627610017999984], [-74.08165547300001, 4.62802571100002], [-74.08204503600001, 4.628558247], [-74.08245698500002, 4.629167176999999], [-74.08251788899997, 4.629257022999979], [-74.08282863599999, 4.629715438000005], [-74.08304356600001, 4.63004798899999], [-74.08318973000002, 4.630270129999985], [-74.08353244, 4.630850909999992], [-74.083798285, 4.631371178999984], [-74.08407666400001, 4.631823789000009], [-74.084051778, 4.631956951999995], [-74.08400831900002, 4.632149248000018], [-74.08392722299999, 4.632293181000022], [-74.083762664, 4.632234884000013], [-74.083159852, 4.632020188000012], [-74.082887615, 4.631917394000026], [-74.08274498100002, 4.632211368000014], [-74.08269700400001, 4.632295917000021], [-74.08256215699998, 4.632493629999999], [-74.08241823899999, 4.632656220000001], [-74.08211100599999, 4.632472772000028], [-74.08192432700002, 4.632431125999971], [-74.081716901, 4.632423300000027], [-74.081525027, 4.632457102999978], [-74.08135259699998, 4.632523427000023], [-74.08126272099997, 4.632582061999983], [-74.081093915, 4.632688217000009], [-74.08092510199998, 4.632872737000013], [-74.08081926900002, 4.633080013999972], [-74.080771389, 4.633211458999994], [-74.080748701, 4.633335325000018], [-74.08073861399998, 4.633444022999981], [-74.079929924, 4.633304904999988], [-74.07978884699997, 4.633246749000022], [-74.07961178300002, 4.633200709999982]]]"
