Barrio_Localidad,CANTIDAD_HURTOS,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,TP27_PERSO,TP9_1_USO,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,Num_Colegios,Num_Cai,Distancia_CAI
11 DE NOVIEMBRE-BARRIOS UNIDOS,163,17,22,28,18,27,21,30,1785.0,588.0,57.0,54.0,92.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,794.1839955293299
12 DE OCTUBRE-BARRIOS UNIDOS,138,13,19,18,25,21,18,24,4371.0,1427.0,133.0,365.0,136.0,0.0,6.0,14.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,612.4360505225217
ABRAHAM LINCOLN-TUNJUELITO,120,12,18,14,15,14,21,26,4588.0,1509.0,9.0,70.0,30.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,684.305863918641
ABRAHAM LINCON-KENNEDY,40,2,6,4,6,9,6,7,1176.0,405.0,0.0,42.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1022.3203888857383
ACACIA IV-CIUDAD BOLÍVAR,62,8,6,12,9,7,8,12,439.0,151.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.90748129663498
ACACIAS SUR-CIUDAD BOLÍVAR,78,5,7,17,15,11,14,9,6265.0,2083.0,2.0,142.0,39.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,523.5069742443467
ACACIAS-SUBA,58,8,9,5,4,6,11,15,824.0,268.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.340247591669
ACAPULCO-ENGATIVÁ,54,5,5,9,6,8,7,14,1745.0,623.0,6.0,37.0,22.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,509.19124591136534
ACAPULCO-SUBA,14,3,0,0,3,0,4,4,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.3479886924108
ACEVEDO TEJADA-TEUSAQUILLO,170,15,25,26,26,30,23,25,2382.0,1155.0,0.0,31.0,33.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,721.1395489707267
AEROPUERTO EL DORADO-FONTIBÓN,421,57,62,50,64,63,50,75,435.0,218.0,1.0,24.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1502.7261513456122
AGUALINDA-USME,2,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1866.2481863613282
AGUAS CLARAS-ENGATIVÁ,5,2,0,0,2,0,1,0,1929.0,658.0,1.0,35.0,12.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,679.7753839699208
AGUAS CLARAS-SAN CRISTÓBAL,34,3,4,4,8,9,3,3,2477.0,710.0,1.0,12.0,12.0,0.0,4.0,126.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1695.5284884353134
ALAMEDA DEL SUR-RAFAEL URIBE,43,3,7,7,6,6,9,5,82.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.1828391457093
